1(0)  sym # : 2
6(1)  sym # : 3
10(2)  sym # : 4
15(3)  sym # : 5
20(4)  sym # : 6
1(6)  sym # : 7
8(7)  sym # : 8
12(8)  sym # : 9
17(9)  sym # : 10
1(11)  sym # : 11
6(12)  sym # : 12
12(13)  sym # : 13
1(15)  sym # : 17
3(16)  sym # : 18
5(17)  sym # : 19
7(18)  sym # : 20
9(19)  sym # : 22
11(20)  sym # : 23
13(21)  sym # : 41
15(22)  sym # : 21
17(23)  sym # : 28
19(24)  sym # : 29
21(25)  sym # : 30
23(26)  sym # : 31
1(28)  sym # : 32
3(29)  sym # : 37
5(30)  sym # : 38
7(31)  sym # : 26
10(32)  sym # : 27
13(33)  sym # : 33
16(34)  sym # : 34
19(35)  sym # : 35
22(36)  sym # : 36
1(38)  sym # : 39
4(39)  sym # : 40
7(40)  sym # : 17
9(41)  sym # : 24
12(42)  sym # : 25
1(44)  sym # : 14
8(45)  sym # : 14
16(46)  sym # : 14
1(51)  sym # : 16
1(52)  sym # : 16
23(52)  sym # : 16
1(53)  sym # : 16
1(54)  sym # : 16
10(54)  sym # : 16
26(54)  sym # : 16
41(54)  sym # : 16
1(54)  sym # : 15
1(56)  sym # : 15
1(58)  sym # : 15
1(61)  sym # : 16
